bureaucracy	https://app.envato.com/search/stock-video/51f50692-1d22-43aa-9306-4c611b7c239d?itemType=stock-video&term=bureaucracy+paperwork+office+documents+stamp
inflation	https://app.envato.com/search/stock-video/3c1cd204-0060-4b0b-a8bc-9e2f67a13ff2?itemType=stock-video&term=burning+money+fire+dollar+bills
protest-unrest	https://app.envato.com/search/stock-video/f021f775-9132-4b15-8bc6-312e298c0516?itemType=stock-video&term=protest+crowd+street+demonstration
ruins-decay	https://app.envato.com/search/stock-video/ee8bc917-cd80-475d-b973-f17c2e43f1a0?itemType=stock-video&term=abandoned+ruins+overgrown+destroyed+city
war-archival	https://app.envato.com/search/stock-video/765fe1e3-cba7-4dc6-979c-562138e3c72e?itemType=stock-video&term=vintage+war+soldiers+black+and+white+archival
bank-vault	https://app.envato.com/search/stock-video/164fdb84-d048-49d8-a845-e7903dd39b01?itemType=stock-video&term=bank+vault+door+closing+steel
padlock-cyber	https://app.envato.com/search/stock-video/b72662e4-ce2e-4647-b77a-1560950bad6f?itemType=stock-video&term=digital+padlock+cyber+security+data
surveillance	https://app.envato.com/search/stock-video/7c7c01a1-3877-45d7-8591-4ef17414dcaf?itemType=stock-video&term=surveillance+security+camera+city+street
white-house	https://app.envato.com/search/stock-video/7642341c-0e8c-4029-bc06-9115051819b1?itemType=stock-video&term=white+house+washington+dc+government
gavel-court	https://app.envato.com/search/stock-video/f09e9c40-0ba8-4f69-8647-e970b7cbf638?itemType=stock-video&term=judge+gavel+courtroom+law+justice
medical-tech	https://app.envato.com/search/stock-video/5dad837c-2317-48ec-8b69-ddac9910386b?itemType=stock-video&term=futuristic+medical+hologram+technology
